CHILDREN,PERS_H,AGE,TMADD,TMJOB1,TEL,NMBLOAN,FINLOAN,INCOME,EC_CARD,BUREAU,LOCATION,LOANS,REGN,DIV,CASH,PRODUCT,RESID,NAT,PROF,CAR,CARDS,GB,_freq_
0,2,51,3,999,2,0,0,1000,1,1,1,2,2,1,1300,Furniture or Carpet,Lease,German,Others,Car,Cheque card,0,30
1,2,55,60,999,2,2,0,2900,0,1,1,1,2,1,900,Furniture or Carpet,Owner,German,Others,Car,no credit cards,0,30
0,1,50,72,999,2,2,0,2300,0,1,1,1,0,0,1100,Radio or TV or Hifi,Lease,German,Others,Without Vehicle,no credit cards,0,30
0,2,56,96,999,2,2,1,4000,0,3,1,0,0,0,7000,Furniture or Carpet,Lease,German,Civil Service,Car,no credit cards,0,30
0,1,52,120,999,2,0,0,0,1,1,1,1,0,0,1200,Furniture or Carpet,Lease,German,Others,Car,Cheque card,0,30
0,1,63,144,999,2,2,1,2200,0,3,1,0,4,1,4000,Furniture or Carpet,Lease,German,Pensioner,Without Vehicle,no credit cards,0,30
0,2,47,168,999,2,0,0,0,0,1,1,1,0,0,1900,Dept. Store or Mail,Lease,German,Others,Car,Mastercard/Euroc,0,30
2,4,51,168,999,2,0,1,5000,0,1,1,1,3,1,5000,Radio or TV or Hifi,Lease,German,Others,Car,no credit cards,0,30
0,2,51,168,999,2,0,0,2800,0,3,1,0,4,1,6000,Furniture or Carpet,Lease,German,Others,Car,no credit cards,0,30
1,3,54,168,999,2,0,0,0,1,1,1,3,5,1,4000,Cars,Lease,German,Others,Car,Cheque card,0,30
0,2,51,192,999,1,0,0,0,1,3,1,0,0,0,1100,Furniture or Carpet,Lease,German,Civil Service,Car,Cheque card,0,30
1,2,55,240,999,1,0,0,2100,0,1,1,1,0,0,8000,Cars,Lease,German,Others,Car,no credit cards,0,30
0,2,53,264,999,2,2,1,0,1,1,1,1,2,1,1400,Radio or TV or Hifi,Lease,German,Civil Service,Car,Cheque card,0,30
1,2,50,288,999,2,0,0,0,1,3,1,0,0,0,700,Radio or TV or Hifi,Lease,German,Civil Service,Without Vehicle,Cheque card,0,30
0,2,50,288,999,2,0,1,0,0,1,1,2,5,1,2500,Radio or TV or Hifi,Lease,German,Others,Car,Mastercard/Euroc,0,30
0,2,54,288,999,2,0,0,0,1,1,1,1,0,0,800,Dept. Store or Mail,Lease,German,Others,Car,Cheque card,0,30
0,2,54,360,999,2,0,1,3000,0,3,1,0,3,1,7000,Furniture or Carpet,Owner,Turkish,Others,Car,no credit cards,0,30
2,4,44,999,999,2,2,0,3000,0,1,1,2,5,1,9000,Cars,Lease,German,Civil Service,Car and Motor bi,no credit cards,0,30
0,2,46,999,999,2,2,1,5000,0,1,1,2,3,1,3000,Radio or TV or Hifi,Lease,German,Others,Car,no credit cards,0,30
0,1,50,999,999,2,0,0,2400,0,1,1,1,4,1,900,Dept. Store or Mail,,German,Others,Without Vehicle,no credit cards,0,30
0,1,54,999,999,2,2,1,0,1,1,1,1,0,0,3000,Furniture or Carpet,Lease,German,Others,Without Vehicle,Cheque card,0,30
0,2,55,999,999,2,0,0,0,1,1,1,2,2,1,900,Radio or TV or Hifi,,German,Civil Service,Car,Cheque card,0,30
0,1,59,999,999,2,0,0,1900,0,3,1,0,0,0,1300,Radio or TV or Hifi,,German,Pensioner,Without Vehicle,no credit cards,0,30
0,1,45,9,336,2,0,0,0,1,3,1,0,3,1,500,Dept. Store or Mail,Lease,German,Others,Car,Cheque card,0,30
1,3,41,15,336,2,0,1,2800,0,3,1,0,9,1,3000,Radio or TV or Hifi,Lease,German,Civil Service,Car,no credit cards,0,30
0,2,48,48,336,2,0,1,3000,0,1,1,1,5,1,500,Dept. Store or Mail,Lease,German,Others,Car,no credit cards,0,30
0,2,46,54,336,2,0,1,3000,0,1,1,2,3,1,1400,Dept. Store or Mail,Lease,German,Others,Car,no credit cards,0,30
0,1,46,60,336,1,0,0,2300,1,3,1,0,0,0,5000,Furniture or Carpet,Lease,German,Others,Car,Cheque card,0,30
1,3,41,66,336,2,2,0,0,1,3,1,0,0,0,1400,Radio or TV or Hifi,Lease,German,Others,Car,Cheque card,0,30
1,3,54,66,336,2,1,1,3100,1,1,1,1,8,1,700,Radio or TV or Hifi,Owner,Italian,State or Steel Ind,Car,Cheque card,0,30
1,3,47,84,336,2,2,1,4000,0,1,1,1,2,1,20000,Cars,Owner,German,Military Service,Car and Motor bi,no credit cards,0,30
2,4,44,96,336,2,0,0,4000,0,3,1,0,6,1,1500,Radio or TV or Hifi,Lease,German,Others,Car,no credit cards,0,30
3,5,40,108,336,2,2,1,3000,0,1,1,0,5,1,3000,Dept. Store or Mail,,German,Others,Car,no credit cards,0,30
3,5,41,108,336,2,0,1,3500,0,1,1,2,4,1,1300,Furniture or Carpet,Lease,German,Others,Car,no credit cards,0,30
2,4,45,120,336,2,0,0,5000,0,1,1,1,4,1,1500,Radio or TV or Hifi,Lease,German,Others,Car,no credit cards,0,30
0,2,47,144,336,2,2,1,0,1,3,1,0,0,0,3000,Furniture or Carpet,Lease,German,Civil Service,Car,Cheque card,0,30
2,4,49,144,336,2,2,1,0,1,1,1,1,0,0,4000,Furniture or Carpet,Lease,German,Others,Car,Cheque card,0,30
1,3,49,144,336,2,2,1,3000,0,1,1,2,2,1,600,Radio or TV or Hifi,Lease,German,Others,Car,no credit cards,0,30
0,2,58,144,336,2,2,1,2500,0,1,1,0,7,1,1700,Radio or TV or Hifi,Lease,Yugoslav,Others,Car,no credit cards,0,30
1,3,39,168,336,2,2,1,5000,0,1,1,1,4,1,1600,Radio or TV or Hifi,,German,Others,Car,no credit cards,0,30
0,2,48,168,336,2,2,1,0,1,1,1,4,0,0,1200,Radio or TV or Hifi,Lease,German,Others,Car,Cheque card,0,30
0,1,49,168,336,2,0,0,0,1,1,1,2,3,1,1400,Dept. Store or Mail,,German,Civil Service,Car,Cheque card,0,30
0,1,45,192,336,1,0,0,0,1,3,1,0,0,0,4000,Furniture or Carpet,Lease,German,Others,Without Vehicle,Cheque card,0,30
2,4,45,192,336,2,2,1,0,1,3,1,0,5,1,700,Radio or TV or Hifi,Lease,German,Others,Car,Cheque card,0,30
0,2,51,192,336,2,0,0,0,1,1,1,2,0,0,600,Radio or TV or Hifi,Lease,German,Others,Car,Cheque card,0,30
1,3,41,216,336,1,2,1,0,1,1,1,3,0,0,1200,Dept. Store or Mail,Lease,German,Others,Car,Cheque card,0,30
0,2,42,216,336,2,0,1,0,1,1,1,2,3,1,1700,Dept. Store or Mail,Lease,German,Food or Building,Car,Cheque card,0,30
2,4,43,216,336,2,0,0,0,1,3,1,0,4,1,1700,Radio or TV or Hifi,Lease,Italian,Others,Car,Cheque card,0,30
0,1,45,216,336,2,0,0,0,1,1,1,4,0,0,6000,Furniture or Carpet,Lease,German,Others,Car,Cheque card,0,30
1,3,46,264,336,2,0,0,0,0,1,1,3,0,0,4000,Furniture or Carpet,Lease,German,Civil Service,Car,Mastercard/Euroc,0,30
3,5,53,264,336,2,0,1,0,1,1,1,2,5,1,1500,Radio or TV or Hifi,Lease,German,Others,Car,Cheque card,0,30
1,2,45,288,336,1,2,1,3000,1,1,1,1,4,1,1500,Dept. Store or Mail,,German,Others,Car,Cheque card,0,30
0,2,52,336,336,2,0,0,0,1,3,1,0,0,0,2500,Furniture or Carpet,Lease,German,Civil Service,Car,Cheque card,0,30
0,2,52,336,336,2,2,0,2500,0,1,1,1,0,0,5000,Furniture or Carpet,Lease,German,Food or Building,Car,no credit cards,0,30
0,2,59,336,336,2,2,1,2700,0,1,1,1,4,1,1600,Radio or TV or Hifi,,German,Pensioner,Car,no credit cards,0,30
1,3,42,999,336,2,0,0,0,1,1,1,1,0,0,1100,Furniture or Carpet,Lease,German,Others,Car,Cheque card,0,30
0,2,50,999,336,2,0,0,0,1,1,1,1,0,0,1500,Furniture or Carpet,Lease,German,Others,Car,Cheque card,0,30
0,2,51,999,336,2,2,0,1500,0,1,1,1,5,1,900,Radio or TV or Hifi,Owner,German,Others,Without Vehicle,no credit cards,0,30
2,3,53,999,336,2,0,0,0,1,3,1,0,6,1,1100,Radio or TV or Hifi,Lease,German,Civil Service,Car,Cheque card,0,30
0,1,55,3,288,2,2,1,2500,0,1,1,2,6,1,9000,Furniture or Carpet,Lease,German,Food or Building,Without Vehicle,no credit cards,0,30
0,2,47,15,288,2,2,1,2000,0,1,1,1,3,1,1600,Dept. Store or Mail,,Yugoslav,Others,Car,no credit cards,0,30
4,6,40,21,288,2,2,1,0,1,1,1,4,7,1,1300,Radio or TV or Hifi,Lease,Turkish,Others,Car,Cheque card,0,30
0,2,55,21,288,1,0,0,2300,0,1,1,1,2,1,3000,Furniture or Carpet,Owner,German,Civil Service,Car,no credit cards,0,30
1,3,41,30,288,2,2,1,5000,0,1,1,1,4,1,2500,Radio or TV or Hifi,,German,Others,Car,no credit cards,0,30
2,3,45,30,288,2,2,1,3200,0,1,1,1,9,1,1500,Radio or TV or Hifi,Lease,Yugoslav,Others,Car,no credit cards,0,30
1,3,50,30,288,2,2,1,3000,0,3,1,0,6,1,1000,Furniture or Carpet,Owner,Turkish,Others,Car,no credit cards,0,30
1,3,47,36,288,2,2,1,0,1,1,1,2,0,0,2000,Furniture or Carpet,Lease,German,Civil Service,Car,Cheque card,0,30
1,3,51,36,288,2,0,0,3500,0,3,1,0,5,1,800,Radio or TV or Hifi,,Turkish,Others,Without Vehicle,no credit cards,0,30
1,3,39,42,288,2,0,0,2500,0,3,1,0,0,0,4000,Furniture or Carpet,Lease,German,Others,Car,no credit cards,0,30
2,3,39,48,288,2,0,0,0,1,3,1,0,0,0,1300,Radio or TV or Hifi,Lease,German,Others,Car,Cheque card,0,30
1,3,49,54,288,2,2,1,3000,0,1,1,1,5,1,4000,Radio or TV or Hifi,Lease,German,Civil Service,Car,no credit cards,0,30
0,2,52,60,288,2,2,1,0,1,3,1,0,5,1,2500,Dept. Store or Mail,,German,Others,Car,Cheque card,0,30
1,3,39,72,288,2,2,1,2800,1,1,1,4,5,1,3000,Furniture or Carpet,Lease,German,State or Steel Ind,Car,Cheque card,0,30
1,3,37,84,288,2,0,1,3000,0,3,1,0,4,1,5000,Furniture or Carpet,Lease,Turkish,Others,Car,no credit cards,0,30
0,1,39,84,288,2,2,1,2200,0,1,1,1,0,0,2500,Radio or TV or Hifi,Lease,German,Others,Without Vehicle,no credit cards,0,30
0,2,48,84,288,2,0,1,3200,0,1,1,2,3,1,800,Dept. Store or Mail,,German,Others,Car,no credit cards,0,30
3,4,42,96,288,2,0,1,3000,0,1,1,1,0,0,1200,Furniture or Carpet,Lease,German,Others,Car,no credit cards,0,30
