CHILDREN,PERS_H,AGE,TMADD,TMJOB1,TEL,NMBLOAN,FINLOAN,INCOME,EC_CARD,BUREAU,LOCATION,LOANS,REGN,DIV,CASH,PRODUCT,RESID,NAT,PROF,CAR,CARDS
0,1,24,6,18,1,0,0,0,1,3,1,0,0,0,500,"Dept. Store,Mail",Lease,East Germany,Others,Car,Cheque card
1,2,35,84,54,1,0,0,2500,0,2,1,0,3,1,1700,"Furniture,Carpet",Lease,East Germany,"Food,Building,Ca",Without Vehicle,no credit cards
1,3,26,36,108,2,0,1,2600,0,1,1,2,0,0,900,"Radio, TV, Hifi",Owner,East Germany,Others,Car,no credit cards
2,3,35,168,15,1,0,0,1600,0,3,1,0,0,0,1200,"Radio, TV, Hifi",,East Germany,Others,Without Vehicle,no credit cards
0,1,20,240,9,2,0,0,0,1,3,1,0,0,0,4000,"Furniture,Carpet",Lease,East Germany,Others,Without Vehicle,Cheque card
2,4,29,30,9,2,2,0,1700,0,3,1,0,0,0,2000,"Radio, TV, Hifi",Lease,East Germany,Others,Without Vehicle,no credit cards
4,6,32,18,6,1,0,0,2700,0,3,1,0,0,0,20000,Cars,Owner,East Germany,Others,Car,no credit cards
0,1,18,3,6,1,0,0,1500,0,3,1,0,0,0,600,"Dept. Store,Mail",,East Germany,Others,Without Vehicle,no credit cards
0,1,20,24,3,1,0,0,0,1,1,1,1,0,0,800,Cars,Lease,East Germany,Others,Car,Cheque card
1,3,40,120,33,2,0,1,2000,0,1,1,3,3,1,1000,Cars,Lease,East Germany,Others,Car,no credit cards
2,4,30,48,0,2,0,0,1000,0,3,0,0,0,0,8000,Cars,Lease,East Germany,Others,Car,no credit cards
2,3,34,3,33,1,2,1,0,1,1,1,1,0,0,1100,"Furniture,Carpet",Lease,East Germany,Others,Car,Cheque card
0,2,65,168,9,2,1,1,1800,0,3,1,0,0,0,1400,"Dept. Store,Mail",,East Germany,Pensioner,Car,no credit cards
